mailbox,ticket_summary,interaction_content,innso_typology_ticket_,type_1,type_2,type_3,type_4
support.pt@aspiegel.com,appgallery]problem suggestion,description instal contact information xxxxx@xxxx.com send huawei phone,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,
support.pt@aspiegel.com,support.pt automatic reply appgallery]problem suggestion,huawi health mon 5 sept phone 1:40 pm write hi appreciate contact support representative check message soon possible appreciate patience cooperation sincerely aspiegel customer support team aspiegel se company incorporate law ireland headquarter dublin ireland aspiegel se huawei mobile services provider huawei honor device owner europe canada australia new zealand countries.huawi health mon 5 sept phone 1:40 pm write hello thank contact support representative check message soon possible appreciate patience collaboration sincerely aspiegel customer support team aspiegel company incorporate law ireland register office dublin ireland aspiegel se provider huawei mobile services owner huawei honor device europe canada australia new zealand country,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]problem suggestion,description install contact information 962 225 736 send huawei cell phone.description install contact information 962 225 736 send huawei cell phone,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,can't install apps
support.pt@aspiegel.com,appgallery]problem suggestion,description install contact information xxxxx@xxxx.comdescription install contact information xxxxx@xxxx.com,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,can't install apps
support.pt@aspiegel.com,appgallery]problem solution,description area loc connection 3 fastweb device difficulty call connection internet contact information phone phone phone send huawei tabletdescription area loc connection 3 fastweb device difficulty call internet connection contact information phone phone phone send huawei tablet,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]issue suggestion,error 500 server error)!!1500.that error error try later know,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]issue suggestion,description contact info phone send huawei phone,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]issue suggestion,ok description contact info phone send huawei phone,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]problem suggestion,description installation error contact detail phone,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,other download/install/update issue
support.pt@aspiegel.com,appgallery]problem suggestion,description installation error contact detail + phone,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,other download/install/update issue
support.pt@aspiegel.com,appgallery]issue suggestion,description manage contact information xxxxx@xxxx.com,appgallery &amp; games / other requests,appgallery &amp; games ,suggestion,general,personal data
support.pt@aspiegel.com,appgallery]issue suggestion,description u. contact information xxxxx@xxxx.com,appgallery &amp; games / other requests,appgallery &amp; games ,suggestion,general,personal data
support.pt@aspiegel.com,appgallery]problem suggestion,description phone datum privacy insecure app account copy share party consent wish report private speak scared frustrate issue contact information xxxxx@xxxx.com,appgallery &amp; games / report a scam or fraud ,appgallery &amp; games ,suggestion,general,personal data
support.pt@aspiegel.com,appgallery]issue suggestion,description installation possible contact information xxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,other download/install/update issue
support.pt@aspiegel.com,appgallery]issue suggestion,description installation possible contact information xxxxx@xxxx.com description installation possible contact information xxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,other download/install/update issue
support.pt@aspiegel.com,appgallery]issue suggestion,description upload contact information 0 543 375 79 90,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,general,appgallery not loading
support.eu@aspiegel.com,od refund day,"hello send e mail twice reminder week ago reply fix bug impact want shut silence kindly ask refund situation thank support make possible kind regard client xxxxx@xxxx.com send wednesday august 10 phone 2:30 pm xxxxx@xxxx.com subject od refund day dear customer appreciate patience internal team reach inform suggest contact developer proof product advertise developer agree refund provide proof able contact customer support game https://aihelp.net/privacypolicy/ customer service xxxxx@xxxx.com game issue directly contact dedicated game operation staff discord channel discord link poland https://discord.gg/tkyzc5cagu serve country greatly appreciate feedback email exchange need input improve service invite fill survey soon arrive email address contact question feel free reply email thread happy walk doubt sincerely ramon aspiegel customer support team aspiegel se company incorporate law ireland headquarters dublin ireland aspiegel se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send tuesday 09 august phone 14:59 xxxxx@xxxx.com subject od refund day hello thank feedback perfectly understand case product advertise function perfect example big issue devs thank positive feedback situation kind regard wysłano z telefonu person wiadomość od xxxxx@xxxx.com datum wt 9 sie phone 14:55 xxxxx@xxxx.com temat refund day dear customer carefully review request unfortunately conclude quality refund time accordingly walk dead user agreement refund payment provide item successfully deliver gamer account aware purchase date phone item purchase way recollect thank understanding sincerely ramon aspiegel customer support team aspiegel se company incorporate law ireland headquarters dublin ireland aspiegel se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send tuesday 09 august phone 14:31 xxxxx@xxxx.com subject refund day hello hope accordingly twd survivor buy product advertise function m ask refund day fair bugged competition affect gampley example rzt 199 vs 204 match isue kindly request refund line transaction ad*****(phone)db05 01.09.*****(phone 198 99pln pw*****(phone)bf505 01.09.*****(phone 393 96pln ad*****(phone)e*****(phone 02.09.*****(phone 198 99pln ad*****(phone)dc9ed05 10.09.*****(phone 393 96pln ad*****(phone)b*****(phone 10.09.*****(phone 198 99pln ad*****(phone)bc*****(phone 14.09.*****(phone 393 96pln ad*****(phone)dc7e05 14.09.*****(phone 198 99pln ad*****(phone)dcdac005 20.09.*****(phone 198 99pln ad*****(phone)edc38c05 20.09.*****(phone 393 96pln pw*****(phone)fcb7b05 25.09.*****(phone 393 96pln ad*****(phone)e905 30.10.*****(phone 393 96pln ad*****(phone)d61dbd05 02.11.*****(phone 393 96pln pw*****(phone)e721f05 03.11.*****(phone 393 96pln pw*****(phone)c*****(phone 03.11.*****(phone 393 96pln pw*****(phone)f5a105 09.11.*****(phone 198 99pln h*****(phone)c7c*****(phone 25.11.*****(phone 198 99pln h*****(phone)bda1f405 25.11.*****(phone 393 96pln pw*****(phone 26.11.*****(phone 393 96pln pw*****(phone)d77b0c05 26.11 phone 198 99pln ad*****(phone)e287ff05 01.12.*****(phone 393 96pln ad*****(phone)bd3cff05 24.12.*****(phone 393 96pln h*****(phone)be86e705 24.12.*****(phone 198 96pln ad*****(phone)c13f905 25.12.*****(phone 198,99pln ad*****(phone)cb2b05 29.12.*****(phone 393 96pln ad*****(phon",appgallery &amp; games /  refund request: unwanted subscription/ item/ app,appgallery &amp; games ,problem/fault,third party apps,refund
support.pt@aspiegel.com,appgallery]problem recommendation,description fail install update mi vydeoplayer contact information xxxxx@xxxx.com description fail install update mi vydeoplayer contact information xxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,can't update apps
support.eu@aspiegel.com,ent ent unreceived huawei point,ok request close ticket thank person xxxxx@xxxx.com gönderildi 1 eylül phone perşembe 19:09 kime xxxxx@xxxx.com konu ynt unreceived person dear user thank contact person hope email regard concern campaign cashback 15 create well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly difficulty discord prefer handle case provide follow information investigation 1 huawei d 2 service country appgallery > > setting > country 2 game app 3 campaign participate 4 outline huawei point coupon prize mean receive 5 discord account contact information applicable question feel free reply email thread happy walk doubt sincerely madalin person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 17:24 xxxxx@xxxx.com subject ynt unreceived person hello information request 1 huawei d xxxxx@xxxx.com 2 service country turkey 2 game app world tank blitz 3 campaign participate app gallery game festival campaign 15 cashback 4 huawei point coupon mean receive 9 tl 5 discord account contact information icebreaker phone person xxxxx@xxxx.com gönderildi 1 eylül phone perşembe 16:53 kime xxxxx@xxxx.com konu unreceived person dear customer thank contact person hope email regard concern world tank blitz cashback build well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel huawei app gallery > campaign > click valid campaign list > find discord icon page > click link join difficulty discord prefer handle case provide follow information investigation 1 huawei d. 2 service country appgallery > > setting > country 2 game app 3 campaign participate 4 outline huawei point coupon mean receive 5 discord account contact information applicable question feel free reply email thread happy walk doubt appreciate feedback email exchange need opinion continue improve service invite fill survey soon send email address contact sincerely person person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 15:32 xxxxx@xxxx.com subject unreceived person hello recently game purchase world tank blitz receive 15 person purchase huawei account e mail transfer relevant huawei point account good regard phone phone,appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.eu@aspiegel.com,aspiegel support issue submit,product appgallery game request request contact miguel losada seoane phone number + phone contact email address xxxxx@xxxx.com huawei d account xxxxx@xxxx.com summary issue send huawei scale win raffle week receive know contact regard home | news | event | product | partner | support copyright aspiegel se,appgallery &amp; games / unable to claim the prize/points/coupons,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.pt@aspiegel.com,appgallery]problem suggestion,description cell phone break will let uninstall contact information exxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-use,ui abnormal in huawei appgallery
support.eu@aspiegel.com,refund request,3 day soft ban ridiculous send huawei phone original message xxxxx@xxxx.com date thu 1 sep phone 5:17 pm xxxxx@xxxx.com subject refund request dear customer apologize inconvenience advise contact developer refund request thank understanding sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 16:12 xxxxx@xxxx.com subject refund request unfortunate contact paypal huawei past month get reply find email report game developer decide soft ban people 3 day let get illegal party recharge make game environment unfair pay price legit recharge platform send huawei phone original message xxxxx@xxxx.com date thu 1 sep phone 3:21 pm xxxxx@xxxx.com subject refund request dear customer thank reply check internal team huawei d transaction take place 14 day ago accord internal policy unable assist refund advise report developer feedback understand precisely mean illegal payment thank understanding question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 13:52 xxxxx@xxxx.com subject refund request huawei d + phone video charge https://youtube.com/shorts/nppd0mzfgpg?feature=share thu 1 sept phone 13:15 < xxxxx@xxxx.com > write dear customer thank reply unfortunately internal tool allow access folder google drive send format provide huawei d. thank understanding cooperation sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 08:37 xxxxx@xxxx.com subject refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 < xxxxx@xxxx.com > write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone phone phone phone,appgallery &amp; games / refund request : app/item purchased not working as expected ,appgallery &amp; games ,problem/fault,third party apps,refund
support.eu@aspiegel.com,unreceived huawei point,hello information request 1 huawei d xxxxx@xxxx.com 2 service country turkey 2 game app world tank blitz 3 campaign participate app gallery game festival campaign 15 cashback 4 huawei point coupon mean receive 9 tl 5 discord account contact information icebreaker phone gönderen xxxxx@xxxx.com gönderildi 1 eylül phone perşembe 16:53 kime xxxxx@xxxx.com konu unreceived person dear customer thank contact person hope email regard concern world tank blitz cashback build well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel huawei app gallery > campaign > click valid campaign list > find discord icon page > click link join difficulty discord prefer handle case provide follow information investigation 1 huawei d. 2 service country appgallery > > setting > country 2 game app 3 campaign participate 4 outline huawei point coupon mean receive 5 discord account contact information applicable question feel free reply email thread happy walk doubt appreciate feedback email exchange need opinion continue improve service invite fill survey soon send email address contact sincerely person person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 15:32 xxxxx@xxxx.com subject unreceived person hello recently game purchase world tank blitz receive 15 person purchase huawei account e mail transfer relevant huawei point account good regard phone,appgallery &amp; games / unable to claim the prize/points/coupons,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.eu@aspiegel.com,ent unreceived huawei point,dear user thank contact person hope email regard concern campaign cashback 15 create well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly difficulty discord prefer handle case provide follow information investigation 1 huawei d 2 service country appgallery > > setting > country 2 game app 3 campaign participate 4 outline huawei point coupon prize mean receive 5 discord account contact information applicable question feel free reply email thread happy walk doubt sincerely madalin person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 17:24 xxxxx@xxxx.com subject ynt unreceived person hello information request 1 huawei d xxxxx@xxxx.com 2 service country turkey 2 game app world tank blitz 3 campaign participate app gallery game festival campaign 15 cashback 4 huawei point coupon mean receive 9 tl 5 discord account contact information icebreaker phone gönderen xxxxx@xxxx.com gönderildi 1 eylül phone perşembe 16:53 kime xxxxx@xxxx.com konu unreceived person dear customer thank contact person hope email regard concern world tank blitz cashback build well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel huawei app gallery > campaign > click valid campaign list > find discord icon page > click link join difficulty discord prefer handle case provide follow information investigation 1 huawei d. 2 service country appgallery > > setting > country 2 game app 3 campaign participate 4 outline huawei point coupon mean receive 5 discord account contact information applicable question feel free reply email thread happy walk doubt appreciate feedback email exchange need opinion continue improve service invite fill survey soon send email address contact sincerely person person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 15:32 xxxxx@xxxx.com subject unreceived person hello recently game purchase world tank blitz receive 15 person purchase huawei account e mail transfer relevant huawei point account good regard phone,appgallery &amp; games / unable to claim the prize/points/coupons,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.pt@aspiegel.com,appgallery]question suggestion,pb description connection wifi mobile datum contact information xxxxx@xxxx.com send huawei mobile,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,suggestion,appgallery-use,others
support.pt@aspiegel.com,appgallery]question suggestion,dear customer thank contact aspiegel hope email concern problem appgallery order able investigate provide following 1 description problem 2 screenshot video recording error 3 problem occur 4 huawei id app gallery > hms core > open screenshot 5 model phone 6 sn number device 7 version app gallery huawei app gallery > > 8 version hms core huawei app gallery > hms core > open > setting > 9 application concern 10 version application concern 11 log app gallery thank cooperation question feel free reply thread happy guide doubt sincerely de aspiegel customer support aspiegel company constituída secondly ireland com sede em loc irlanda note provider huawei mobile services huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send thursday september 01 phone 17:23 xxxxx@xxxx.com subject appgallery]question suggestion description problem connection wifi mobile datum contact information xxxxx@xxxx.com send huawei mobile,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,suggestion,appgallery-use,others
support.pt@aspiegel.com,appgallery]problem suggestions[appgallery]problem suggestion,description unable install app contact info ixxxxx@xxxx.com send huawei phone,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,appgallery-install/upgrade,can't install apps
support.eu@aspiegel.com,refund request,unfortunate contact paypal huawei past month get reply find email report game developer decide soft ban people 3 day let get illegal party recharge make game environment unfair pay price legit recharge platform send huawei phone original message xxxxx@xxxx.com date thu 1 sep phone 3:21 pm xxxxx@xxxx.com subject refund request dear customer thank reply check internal team huawei d transaction take place 14 day ago accord internal policy unable assist refund advise report developer feedback understand precisely mean illegal payment thank understanding question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 13:52 xxxxx@xxxx.com subject refund request huawei d + phone video charge https://youtube.com/shorts/nppd0mzfgpg?feature=share thu 1 sept phone 13:15 < xxxxx@xxxx.com > write dear customer thank reply unfortunately internal tool allow access folder google drive send format provide huawei d. thank understanding cooperation sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 08:37 xxxxx@xxxx.com subject refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 < xxxxx@xxxx.com > write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone phone phone,appgallery &amp; games / refund request : app/item purchased not working as expected ,appgallery &amp; games ,problem/fault,third party apps,refund
support.eu@aspiegel.com,refund request,dear customer apologize inconvenience advise contact developer refund request thank understanding sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 16:12 xxxxx@xxxx.com subject refund request unfortunate contact paypal huawei past month get reply find email report game developer decide soft ban people 3 day let get illegal party recharge make game environment unfair pay price legit recharge platform send huawei phone original message xxxxx@xxxx.com date thu 1 sep phone 3:21 pm xxxxx@xxxx.com subject refund request dear customer thank reply check internal team huawei d transaction take place 14 day ago accord internal policy unable assist refund advise report developer feedback understand precisely mean illegal payment thank understanding question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 13:52 xxxxx@xxxx.com subject refund request huawei d + phone video charge https://youtube.com/shorts/nppd0mzfgpg?feature=share thu 1 sept phone 13:15 < xxxxx@xxxx.com > write dear customer thank reply unfortunately internal tool allow access folder google drive send format provide huawei d. thank understanding cooperation sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 08:37 xxxxx@xxxx.com subject refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 < xxxxx@xxxx.com > write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone phone phone,appgallery &amp; games / refund request : app/item purchased not working as expected ,appgallery &amp; games ,problem/fault,third party apps,refund
support.pt@aspiegel.com,appgallery]problem suggestion,description haiii buba contact information beyekeitaxxxxx@xxxx.com send phone,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.eu@aspiegel.com,information,dear customer thank contact person hope order good solution clarify request follow information description issue screenshot record video error issue happen huawei d app gallery > hms core > open screenshot phone model sn number device app gallery version huawei app gallery > > hms core version huawei app gallery > hms core > open > setting > related app relate app version log app gallery question feel free reply email thread happy walk doubt kind regard marian person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 15:42 xxxxx@xxxx.com subject appgallery]problem suggestion description haiii buba contact information beyekeitaxxxxx@xxxx.com send phone,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
